ZIP,PER_SQFT,GR_SQFT,BORO,BACHELORS,POPULATION,EDUCATION,CRIME_INDEX
10001,1345.85,3520,1,5809,22203,0.2616313111,141
10002,402.12,1239,1,13992,80859,0.1730419619,125
10003,1346.79,3800,1,19787,55458,0.3567925277,138
10009,796.00,3765,1,15094,61217,0.2465654965,99
10010,1346.25,3402,1,10115,29715,0.3404004711,110
10011,1345.62,3696,1,14546,49792,0.2921352828,136
10012,1222.75,3696,1,7346,23628,0.3109023193,177
10013,873.72,3484,1,7027,28634,0.2454075574,163
10014,1343.24,3209,1,10893,31160,0.3495827985,213
10016,1346.93,3780,1,17843,54437,0.3277733894,168
10017,1346.23,3840,1,5668,16041,0.3533445546,98
10018,1049.22,4292,1,1505,5387,0.2793762762,174
10019,875.57,4124,1,12078,40756,0.2963490038,118
10021,1467.53,5644,1,13811,43879,0.3147519314,108
10022,1466.55,4047,1,11007,33609,0.3275015621,138
10023,1347.86,5621,1,18203,68449,0.2659352218,134
10024,1346.96,4678,1,14847,57868,0.256566669,128
10025,954.48,4000,1,20241,93826,0.2157291156,99
10026,297.42,3275,1,6255,33942,0.1842849567,102
10027,273.33,3400,1,10114,60012,0.1685329601,122
10028,1346.71,4013,1,15231,49733,0.3062554039,90
10029,246.91,3000,1,11525,76848,0.1499713721,89
10030,273.11,3400,1,3757,25729,0.1460219985,88
10031,281.25,3608,1,8651,55378,0.1562172704,70
10032,257.21,3200,1,7738,56652,0.1365882934,53
10033,257.20,2592,1,8927,52588,0.1697535559,86
10034,269.52,2989,1,5538,38194,0.1449965963,74
10035,248.67,3600,1,4863,34460,0.1411201393,113
10036,874.84,3824,1,7285,23578,0.3089744677,106
10037,272.73,3530,1,3082,16871,0.182680339,73
10038,794.95,4550,1,5445,19312,0.2819490472,108
10039,273.74,3518,1,3321,23567,0.1409173845,57
10040,256.50,1920,1,6688,40894,0.1635447743,48
10065,1348.20,4692,1,8819,28880,0.305367036,111
10075,1348.42,4788,1,8434,27251,0.3094932296,106
10128,1346.83,3678,1,16255,55748,0.291579967,106
10301,227.01,1848,5,5679,41077,0.1382525501,150
10302,218.34,1568,5,1713,18920,0.0905391121,167
10303,206.64,1449,5,2921,25646,0.113896904,102
10304,235.82,1681,5,4631,40872,0.113304952,94
10305,249.00,1668,5,4987,41433,0.1203629957,109
10306,274.47,1500,5,6523,54789,0.119056745,131
10307,230.31,2140,5,1517,13871,0.1093648619,130
10308,262.99,1574,5,3075,26872,0.1144313784,87
10309,225.67,2100,5,3836,32049,0.1196917221,100
10310,229.81,1600,5,2589,24164,0.1071428571,142
10312,240.88,1800,5,7018,57909,0.1211901432,59
10314,233.83,1695,5,10428,84686,0.1231372364,81
10451,144.61,2370,2,2578,45863,0.056210889,75
