CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,SCORE,GRADE
30075445,MORRIS PARK BAKE SHOP,BRONX,1007,MORRIS PARK AVE,10462,7188924968,Bakery,10.0,A
30112340,WENDY'S,BROOKLYN,469       ,FLATBUSH AVENUE                                   ,11225,7182875005,Hamburgers,12.0,A
30191841,DJ REYNOLDS PUB AND RESTAURANT,MANHATTAN,351       ,WEST   57 STREET                                  ,10019,2122452912,Irish,8.0,A
40356018,RIVIERA CATERER,BROOKLYN,2780      ,STILLWELL AVENUE                                  ,11224,7183723031,American ,4.0,A
40356151,BRUNOS ON THE BOULEVARD,QUEENS,8825,ASTORIA BOULEVARD,11369,7183350505,American ,12.0,A
40356483,WILKEN'S FINE FOOD,BROOKLYN,7114,AVENUE U,11234,7184443838,Delicatessen,9.0,A
40356649,REGINA CATERERS,BROOKLYN,6409      ,11 AVENUE                                         ,11219,7182560829,American ,8.0,A
40356731,TASTE THE TROPICS ICE CREAM,BROOKLYN,1839      ,NOSTRAND AVENUE                                   ,11226,7188560821,"Ice Cream, Gelato, Yogurt, Ices",5.0,A
40357217,WILD ASIA,BRONX,2300      ,SOUTHERN BOULEVARD                                ,10460,7182207846,American ,9.0,A
40359480,1 EAST 66TH STREET KITCHEN,MANHATTAN,1         ,EAST   66 STREET                                  ,10065,2128793900,American ,0.0,A
40359705,NATHAN'S FAMOUS,BROOKLYN,1310,SURF AVENUE,11224,7183332202,Hotdogs,11.0,A
40360045,SEUDA FOODS,BROOKLYN,705       ,KINGS HIGHWAY                                     ,11223,7183751500,Jewish/Kosher,13.0,A
40360076,CARVEL ICE CREAM,BROOKLYN,203       ,CHURCH AVENUE                                     ,11218,7184389501,"Ice Cream, Gelato, Yogurt, Ices",5.0,A
40361521,GLORIOUS FOOD,MANHATTAN,522       ,EAST   74 STREET                                  ,10021,2127372140,American ,10.0,A
40361606,THE MOVABLE FEAST,BROOKLYN,284       ,PROSPECT PARK WEST                                ,11215,7189652900,American ,11.0,A
40361618,SAL'S DELI,QUEENS,12908,20 AVENUE,11356,7186619498,Delicatessen,7.0,A
40361708,BULLY'S DELI,MANHATTAN,759,BROADWAY,10003,2122549755,Delicatessen,7.0,A
40361998,STEVE CHU'S DELI & GROCERY,QUEENS,3406,10 STREET,11106,7187268888,Delicatessen,5.0,A
40362098,HARRIET'S KITCHEN,MANHATTAN,502       ,AMSTERDAM AVENUE                                  ,10024,2127210045,Chicken,10.0,A
40362264,P & S DELI GROCERY,MANHATTAN,730       ,COLUMBUS AVENUE                                   ,10025,2129323030,American ,13.0,A
40362274,ANGELIKA FILM CENTER,MANHATTAN,18,WEST HOUSTON STREET,10012,2129952570,American ,11.0,A
40362432,HO MEI RESTAURANT,QUEENS,10305,37 AVENUE,11368,7187796903,Chinese,12.0,A
40362715,THE COUNTRY CAFE,MANHATTAN,60,WALL STREET,10005,3474279132,Turkish,7.0,A
40362869,SHASHEMENE INT'L RESTAURA,BROOKLYN,195       ,EAST   56 STREET                                  ,11203,3474300871,Caribbean,9.0,A
40363098,DUNKIN' DONUTS,BROOKLYN,56        ,COURT STREET                                      ,11201,7186252068,Donuts,7.0,A
40363151,OLIVE'S,MANHATTAN,120       ,PRINCE STREET                                     ,10012,2129410111,Sandwiches/Salads/Mixed Buffet,6.0,A
40363298,CAFE METRO,MANHATTAN,625,8 AVENUE,10018,2127149342,American ,12.0,A
40363333,TONY'S DELI,QUEENS,1069      ,WYCKOFF AVENUE                                                                                      ,11385,7183867925,Delicatessen,11.0,A
40363426,LEXLER DELI,MANHATTAN,405       ,LEXINGTON AVENUE                                  ,10174,2126870820,Sandwiches/Salads/Mixed Buffet,12.0,A
40363427,BAGELS N BUNS,STATEN ISLAND,2491      ,VICTORY BOULEVARD                                 ,10314,7187611900,Delicatessen,11.0,A
